num_qubits;DJ_times;DJ_sizes;BV_times;BV_sizes;grover_times;grover_sizes
2;0.008998870849609375;966;0.004000663757324219;280;0.009001016616821289;1304
3;0.0010020732879638672;635;0.003998756408691406;760;0.008000850677490234;1704
4;0.005001544952392578;1043;0.005002021789550781;280;0.007000923156738281;1760
5;0.010999679565429688;787;0.006999492645263672;1216;0.023999691009521484;2336
6;0.029997825622558594;875;0.03099966049194336;816;0.2200002670288086;2176
7;0.2129988670349121;1019;0.5280096530914307;1976;0.14800024032592773;3992
8;2.0350096225738525;739;3.024010419845581;1400;3.652010440826416;4096
9;17.843010187149048;1035;22.08905529975891;1504;8.337011337280273;4184
10;108.31800985336304;1076;549.9640109539032;2344;200.73301005363464;5280
2;0.0;0;0.0;576;0.0;1040
3;0.0;400;0.0;664;0.0010001659393310547;1880
4;0.0009992122650146484;496;0.0010004043579101562;352;0.003001689910888672;1832
5;0.0029990673065185547;712;0.004000186920166016;1136;0.01399993896484375;2360
6;0.03499937057495117;672;0.03699922561645508;1320;0.19300007820129395;2296
7;0.27899813652038574;672;0.31799769401550293;1264;0.16900014877319336;4112
8;2.2440097332000732;728;4.064418077468872;1680;4.2120115756988525;4104
9;12.787009000778198;1032;45.159008741378784;1944;9.960010528564453;4208
10;144.93701004981995;784;186.11900973320007;1528;129.2940113544464;5288
